,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh),Longitude,Latitude
264,2001,Ireland,Wind and solar,0.33399999999999996,1.35595972718415,36.885245901639294,0.09,7.6921,53.1424
265,2001,Ireland,Wind,0.33399999999999996,1.35595972718415,36.885245901639294,0.09,7.6921,53.1424
266,2001,Ireland,Solar,0.0,0.0,,0.0,7.6921,53.1424
267,2001,Ireland,Bioenergy,0.09699999999999999,0.39379668723611494,2.1052631578947403,0.002,7.6921,53.1424
268,2001,Ireland,Other renewables,0.0,0.0,,0.0,7.6921,53.1424
269,2001,Ireland,Production,24.631999999999998,,4.0466334375264,0.9580000000000021,7.6921,53.1424
270,2001,Ireland,Net imports,-0.249999999999999,,-355.102040816326,-0.348,7.6921,53.1424
271,2001,Ireland,Demand,24.381999999999998,,2.56604408547871,0.609999999999999,7.6921,53.1424
272,2001,Italy,Fossil,216.72514700000002,79.9509459178229,-0.7104472495041859,-1.550735,12.5674,41.8719
273,2001,Italy,Coal,31.73,11.7053491442436,20.77496954933,5.457999999999999,12.5674,41.8719
274,2001,Italy,Hard Coal,31.726999999999997,11.704242429858699,20.791136830884,5.461,12.5674,41.8719
275,2001,Italy,Lignite,0.003,0.00110671438489539,-50.0,-0.003,12.5674,41.8719
276,2001,Italy,Gas,104.18799999999999,38.435452777827,2.7900552486187897,2.8280000000000003,12.5674,41.8719
277,2001,Italy,Other fossil,80.807147,29.810143995752203,-10.852067213979199,-9.83673499999999,12.5674,41.8719
278,2001,Italy,Nuclear,0.0,0.0,,0.0,12.5674,41.8719
279,2001,Italy,Renewables,54.347502,20.049054082177,6.8168140498535,3.4683379999999997,12.5674,41.8719
280,2001,Italy,Hydro,46.810272999999995,17.268534163326798,5.90692245328143,2.610827,12.5674,41.8719
281,2001,Italy,Wind and solar,1.198,0.44194794436822704,106.19621342512899,0.617,12.5674,41.8719
282,2001,Italy,Wind,1.179,0.434938753263889,109.413854351687,0.616,12.5674,41.8719
283,2001,Italy,Solar,0.019,0.00700919110433749,5.55555555555555,0.001,12.5674,41.8719
284,2001,Italy,Bioenergy,1.832229,0.6759180635741671,31.4633950340025,0.438511,12.5674,41.8719
285,2001,Italy,Other renewables,4.507,1.6626539109078402,-4.20828905419766,-0.198,12.5674,41.8719
286,2001,Italy,Production,271.072649,,0.712452925738582,1.91760300000004,12.5674,41.8719
287,2001,Italy,Net imports,48.376999999999995,,9.08742417750918,4.03,12.5674,41.8719
288,2001,Italy,Demand,319.449649,,1.8971496600695301,5.94760300000001,12.5674,41.8719
289,2001,Latvia,Fossil,1.4409999999999998,33.6672016971447,9.74866717440976,0.128,24.6032,56.8796
290,2001,Latvia,Coal,0.0,0.0,,0.0,24.6032,56.8796
291,2001,Latvia,Hard Coal,0.0,0.0,,0.0,24.6032,56.8796
292,2001,Latvia,Lignite,0.0,0.0,,0.0,24.6032,56.8796
293,2001,Latvia,Gas,1.304,30.466364339400897,15.6028368794326,0.17600000000000002,24.6032,56.8796
294,2001,Latvia,Other fossil,0.13699999999999998,3.2008373577438,-25.945945945945898,-0.0479999999999999,24.6032,56.8796
295,2001,Latvia,Nuclear,0.0,0.0,,0.0,24.6032,56.8796
296,2001,Latvia,Renewables,2.83913,66.3327983028553,0.5509329665169139,0.0155560000000001,24.6032,56.8796
297,2001,Latvia,Hydro,2.8331049999999998,66.1920315504435,0.49475783008892105,0.013947999999999999,24.6032,56.8796
298,2001,Latvia,Wind and solar,0.003433,0.0802078441542663,-22.2775639574371,-0.000984,24.6032,56.8796
299,2001,Latvia,Wind,0.003433,0.0802078441542663,-22.2775639574371,-0.000984,24.6032,56.8796
300,2001,Latvia,Solar,0.0,0.0,,0.0,24.6032,56.8796
301,2001,Latvia,Bioenergy,0.0025919999999999897,0.0605589082574594,inf,0.0025919999999999897,24.6032,56.8796
302,2001,Latvia,Other renewables,0.0,0.0,,0.0,24.6032,56.8796
303,2001,Latvia,Production,4.280130000000001,,3.47040812034307,0.143556,24.6032,56.8796
304,2001,Latvia,Net imports,1.8829999999999898,,5.43113101903693,0.0969999999999997,24.6032,56.8796
305,2001,Latvia,Demand,6.163130000000001,,4.0616799384862,0.240555999999999,24.6032,56.8796
306,2001,Lithuania,Fossil,2.6039999999999996,18.2179997755632,14.663143989431902,0.33299999999999996,23.8813,55.1694
307,2001,Lithuania,Coal,0.0,0.0,,0.0,23.8813,55.1694
308,2001,Lithuania,Hard Coal,0.0,0.0,,0.0,23.8813,55.1694
309,2001,Lithuania,Lignite,0.0,0.0,,0.0,23.8813,55.1694
