,Year,Area,Share_sum(%),Change_sum(%)
4803,2013,Czech Republic,46.60987554050805,60.41818568735251
4816,2013,Denmark,45.95984547005157,380.4166456613034
4829,2013,Estonia,9.18727241731577,-50.8191527663318
4842,2013,Finland,69.37782301103888,54.82925023625154
4855,2013,France,90.76026584047132,46.60330268785306
4868,2013,Germany,39.43750987517766,inf
4881,2013,Greece,25.124136093347673,172.92977809215205
4894,2013,Hungary,60.003725676527154,212.6320632922417
4907,2013,Ireland,22.00367825954041,5.893498419118263
4920,2013,Italy,39.01415041352839,89.6238438889388
4933,2013,Latvia,56.91342949611578,627.8137445785366
4946,2013,Lithuania,38.364262599708326,1932.308596187883
4959,2013,Luxembourg,20.007285773662122,121.28836694090094
4972,2013,Malta,1.5744097018495158,56.1381458045067
4985,2013,Netherlands,14.77415381690848,94.01891336856895
4998,2013,Poland,10.411963983668853,61.5318498973162
5011,2013,Portugal,58.325135438185974,220.9500314906572
5024,2013,Romania,54.26787712135634,5268.531265925561
5037,2013,Slovakia,77.5988750219721,55.10067460262779
5050,2013,Slovenia,65.84379803197504,inf
5063,2013,Spain,59.73886366319099,110.13707528572662
5076,2013,Sweden,97.46064295540171,97.00847439007447
5089,2013,United Kingdom,34.84138392024246,116.39988334622758
5102,2014,Austria,81.47244064090951,67.3653946393747
5115,2014,Belgium,64.69782482300548,-19.197605786679343
5128,2014,Bulgaria,49.567753137882036,94.62683434372718
5141,2014,Croatia,73.9557785644222,288.2515718015071
5154,2014,Cyprus,7.285693858418599,59.90799371295292
5167,2014,Czech Republic,46.46242596738524,-13.107510386159234
5180,2014,Denmark,55.87837229000334,44.76244613293993
5193,2014,Estonia,11.15817059591759,33.97656584112477
5206,2014,Finland,73.52433405479185,65.39044457965684
5219,2014,France,93.71578863030955,40.779066908077425
5232,2014,Germany,41.75241157556265,18.622993115202636
5245,2014,Greece,24.187000631079748,-34.9048012063383
5258,2014,Hungary,64.06038406166996,222.9765466754381
5271,2014,Ireland,24.76808545939903,294.2286936596862
5284,2014,Italy,43.49569234314736,30.29888507026575
5297,2014,Latvia,54.52786321234074,66.04218875571661
5310,2014,Lithuania,43.59329840454005,57.63731198671509
5323,2014,Luxembourg,20.879520185339004,37.423346339356
5336,2014,Malta,3.336020918619611,109.77228238122369
5349,2014,Netherlands,15.248658581252908,103.74125614512883
5362,2014,Poland,12.529101755384804,398.0232979261157
5375,2014,Portugal,60.74838027777395,49.50299397273068
5388,2014,Romania,59.51189306513584,inf
5401,2014,Slovakia,80.38475767665554,42.48742570450118
5414,2014,Slovenia,75.62697100354157,68.90047243898587
5427,2014,Spain,60.94713258042964,-1.4956355217395316
5440,2014,Sweden,98.08860743146681,43.39142837277371
5453,2014,United Kingdom,38.265172148993024,101.41128890477368
5466,2015,Austria,76.93150800810852,-46.10373992423774
5479,2015,Belgium,59.4961490217225,37.50994389846729
5492,2015,Bulgaria,49.563248277907526,73.92364907154663
5505,2015,Croatia,66.82499544377616,103.97472848817762
5518,2015,Cyprus,8.81530015312854,74.35049387105367
5531,2015,Czech Republic,43.93510479056963,12.032762167390034
5544,2015,Denmark,65.43413080958277,26.275498626762243
5557,2015,Estonia,14.415452258894451,17.098699668434655
5570,2015,Finland,78.67219060292629,176.97923122314845
5583,2015,France,92.2268165018747,45.45916237266557
5596,2015,Germany,43.679950186799374,40.80830501917519
5609,2015,Greece,28.65633531723082,69.71656623592035
5622,2015,Hungary,62.91960450218579,96.39314547691623
5635,2015,Ireland,27.974297111127555,68.85694003481531
5648,2015,Italy,38.75863934238036,-13.49584715899977
5661,2015,Latvia,50.182681570302506,151.02972669561535
5674,2015,Lithuania,42.04125353717604,26.52813376265422
5687,2015,Luxembourg,32.275625416757194,38.38781461343748
5700,2015,Malta,7.794400675101342,41.906207914743526
5713,2015,Netherlands,16.113556407065936,63.79811267819833
5726,2015,Poland,13.81268561697815,746.9436663611953
5739,2015,Portugal,47.53387399199897,-20.661478867493773
5752,2015,Romania,57.402747638760125,1.6618888956520514
5765,2015,Slovakia,79.85074626865658,-8.3796020529666
5778,2015,Slovenia,67.50363545285511,4.707426439279323
5791,2015,Spain,55.60443938259992,-25.68106368899455
5804,2015,Sweden,98.0609373375817,157.27301479179772
5817,2015,United Kingdom,45.600888579302946,144.99558588639331
5830,2016,Austria,78.280391643469,-30.035853511514112
5843,2016,Belgium,68.75590427674615,79.71153754523465
5856,2016,Bulgaria,51.218385625495735,0.4377380075406734
5869,2016,Croatia,66.30018347413626,111.73630702916864
5882,2016,Cyprus,8.688392541296329,18.93590916648568
5895,2016,Czech Republic,40.8327402905884,-18.525796720409758
5908,2016,Denmark,60.21933495808514,36.28450206738993
5921,2016,Estonia,12.50383544549883,inf
5934,2016,Finland,78.2800940664238,121.85190903078605
5947,2016,France,89.87699955284869,31.955830110125124
5960,2016,Germany,42.54032258064505,98.74885860891844
5973,2016,Greece,27.368701833387565,21.52099441826664
5986,2016,Hungary,60.68508000559581,79.8360754454466
5999,2016,Ireland,24.86165750251229,100.6349915996687
6012,2016,Italy,37.608662842411604,10.944255639101106
6025,2016,Latvia,54.18316710724893,92.49893476397348
6038,2016,Lithuania,61.50362693722577,59.12692612714311
6051,2016,Luxembourg,58.254219644488295,23.77149224307174
6064,2016,Malta,15.89692492217798,59.641247730246896
6077,2016,Netherlands,16.2824377436904,57.21688030448771
6090,2016,Poland,13.732163056303495,131.4745511185051
6103,2016,Portugal,54.631240156132215,81.5851656901218
6116,2016,Romania,59.222415874852715,-8.06696381912543
6129,2016,Slovakia,80.20009742571277,19.783697564900983
6142,2016,Slovenia,66.4017397481438,18.60012246692068
6155,2016,Spain,60.20232409019481,28.15163464656339
6168,2016,Sweden,97.6502758299057,43.296958392205966
6181,2016,United Kingdom,45.79597462948321,-80.87180532798881
6194,2017,Austria,75.71541903198414,373.38988649051106
6207,2017,Belgium,68.26473419277646,2.7382838645681
6220,2017,Bulgaria,48.26254725676374,-9.834663554203095
6233,2017,Croatia,60.38851924774242,38.071810988496495
6246,2017,Cyprus,8.69662784389228,10.618795090431846
6259,2017,Czech Republic,44.25511434630262,37.33055694000452
6272,2017,Denmark,70.26995987722832,38.67436613886268
6285,2017,Estonia,13.94382903430478,63.0143924288047
6298,2017,Finland,80.37956538309435,169.45595578411067
6311,2017,France,88.2927671203168,19.320546211029452
6324,2017,Germany,45.19215928383999,24.459247806399546
6337,2017,Greece,25.006942528044117,-6.288089362231744
6350,2017,Hungary,59.689662530866,inf
6363,2017,Ireland,28.95187309555135,105.89730556339502
6376,2017,Italy,35.41602158535214,-6.161557475657341
6389,2017,Latvia,72.52108531601053,118.62227125561009
6402,2017,Lithuania,75.57667814449296,69.83687608908836
6415,2017,Luxembourg,66.79713358469897,136.19899648944363
6428,2017,Malta,10.414682653799465,44.058519286978694
6441,2017,Netherlands,17.790250345172517,7.579266941717171
6454,2017,Poland,14.19539475717177,53.1969118555177
6467,2017,Portugal,39.12371927446365,-19.291885561424937
6480,2017,Romania,55.97812955021452,-104.29981444008916
6493,2017,Slovakia,79.21492449787408,-5.8125803024983735
6506,2017,Slovenia,66.8475310605138,3.1699177120685293
6519,2017,Spain,53.4884402701484,-37.86856567745184
6532,2017,Sweden,97.88643629167282,88.87862086988024
6545,2017,United Kingdom,50.227768692901876,46556.10579870973
6558,2018,Austria,76.97136417211122,166.1647662251426
6571,2018,Belgium,62.158011543787936,11.048431981711651
6584,2018,Bulgaria,54.631493170301816,345.9252604963184
6597,2018,Croatia,72.19897104305521,inf
6610,2018,Cyprus,9.43429856772965,30.45583798924652
6623,2018,Czech Republic,45.30079529680585,0.5580239953116708
6636,2018,Denmark,68.36090692880703,-1.8080128938371836
6649,2018,Estonia,16.09088883462694,84.1554674116082
6662,2018,Finland,78.49607259727786,108.03483165093922
6675,2018,France,91.3830520754751,61.135243426577844
6688,2018,Germany,47.207405083150206,8.831419798347564
6701,2018,Greece,30.327777319947437,55.00071846183716
6714,2018,Hungary,61.151733877294774,1162.7779992128421
6727,2018,Ireland,32.996178787843114,85.79749546783349
6740,2018,Italy,39.80895521515527,24.844315529640866
6753,2018,Latvia,52.02404240432955,127.57954161215656
6766,2018,Lithuania,80.14395812127361,-9.459945319274153
6779,2018,Luxembourg,71.52851871552114,53.91797691930893
6792,2018,Malta,10.121244338252788,8.8037267762159
6805,2018,Netherlands,19.585641348960756,88.66109960545187
6818,2018,Poland,12.753715015004182,45.33852342782075
